Quercetin 2,3-dioxygenase
Putative quercetin 2,3-dioxygenase Ta0133
Putative quercetin 2,3-dioxygenase MT0190
Putative quercetin 2,3-dioxygenase PA1205
Putative quercetin 2,3-dioxygenase ZMO1337
Putative quercetin 2,3-dioxygenase sll1773
Putative quercetin 2,3-dioxygenase Rv0181c
Putative quercetin 2,3-dioxygenase PA1210
Putative quercetin 2,3-dioxygenase PA2418
Putative quercetin 2,3-dioxygenase PA3240
Putative quercetin 2,3-dioxygenase Mb0187c
Putative quercetin 2,3-dioxygenase VC_A0969
Putative quercetin 2,3-dioxygenase PM1685
