Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
UPF0284 protein PH0034
UPF0284 protein M1425_0030
UPF0284 protein YN1551_0030
UPF0284 protein PYRAB00380
UPF0284 protein Saci_0020
UPF0284 protein M164_0030
UPF0284 protein LS215_0030
UPF0284 protein Ta0078
UPF0284 protein PMT_1350
UPF0284 protein MJ1598
UPF0284 protein SYNPCC7002_A1742
UPF0284 protein M1627_0030
UPF0284 protein YG5714_0030
UPF0284 protein MTH_1426
UPF0284 protein Mbar_A0178
UPF0284 protein STK_21430
UPF0284 protein cce_1085
UPF0284 protein Pcal_1534
UPF0284 protein SSO2213
UPF0284 protein MA_3887
UPF0284 protein TV0153
UPF0284 protein APE_2029.1
UPF0284 protein MK0224
UPF0284 protein alr0297
UPF0284 protein SYNW1869
UPF0284 protein PF0303
UPF0284 protein A9601_04941
UPF0284 protein MAE_56900
UPF0284 protein sll1500
UPF0284 protein Tery_1555
UPF0284 protein VNG_1572C
UPF0284 protein tll2306
UPF0284 protein Cyan7425_0342
UPF0284 protein Pro_0435
UPF0284 protein TK0853
UPF0284 protein P9301_04631
UPF0284 protein P9215_05181
UPF0284 protein TGAM_0534
UPF0284 protein TON_0688
UPF0284 protein MM_0708
UPF0284 protein PCC7424_2681
UPF0284 protein AF_0276
UPF0284 protein OE_3242F
UPF0284 protein PCC8801_3324
UPF0284 protein PAE0372
UPF0284 protein PMM0439
UPF0284 protein AM1_5137
UPF0284 protein Msed_0735
UPF0284 protein glr4139
UPF0284 protein PMT9312_0438
