Glycogen synthase
Glycogen synthase 2
Glycogen synthase 1
Probable glycogen synthase 2
Probable glycogen synthase
Capsular glucan synthase
Starch synthase 1, chloroplastic/amyloplastic
Soluble starch synthase 2-1, chloroplastic/amyloplastic
Starch synthase 3, chloroplastic/amyloplastic
Soluble starch synthase 2-2, chloroplastic/amyloplastic
Granule-bound starch synthase 1, chloroplastic/amyloplastic
Soluble starch synthase 1, chloroplastic/amyloplastic
Starch synthase 2, chloroplastic/amyloplastic
Soluble starch synthase 2-3, chloroplastic/amyloplastic
Granule-bound starch synthase 2, chloroplastic/amyloplastic
Probable starch synthase 4, chloroplastic/amyloplastic
Soluble starch synthase 3, chloroplastic/amyloplastic
