Putative chalcone synthase
Chalcone synthase LF2
Chalcone synthase 2
Chalcone synthase 3
Chalcone synthase 4
Chalcone synthase 5
Chalcone synthase 7
Chalcone synthase 8
Chalcone synthase A
Chalcone synthase E
Chalcone synthase 1
Chalcone synthase 4-1
Chalcone synthase 6-4
Chalcone synthase B
Chalcone synthase C
Chalcone synthase D
Chalcone synthase J
Chalcone synthase DIII
Chalcone synthase 1A
Chalcone synthase LF4
Chalcone synthase DII
Chalcone synthase G
Chalcone synthase 17
Chalcone synthase C2
Chalcone synthase 4-2
Chalcone synthase 6
Chalcone synthase DIV
Chalcone synthase WHP1
Chalcone synthase LF1
Chalcone synthase 9
Chalcone synthase 1B
Chalcone synthase LF3
Chalcone synthase F
Chalcone synthase RJ5
