Calcineurin B-like protein 10
Glucokinase
MinK-related peptide, potassium channel accessory subunit protein 4
K(+)/H(+) antiporter NhaP2
Putative transport protein Asuc_0023
Putative transport protein DNO_0009
Putative transport protein Spro_0050
Putative transport protein VC_1145
Putative transport protein Ent638_1362
Putative transport protein KPK_0013
Putative transport protein YPDSF_0014
Putative transport protein PM1071
Putative transport protein CKO_00031
Putative transport protein HI_0035
Putative transport protein YPTB1357
Putative transport protein HAPS_0158
Putative transport protein Ent638_0015
Putative transport protein Spro_1639
Putative transport protein VS_1837
Putative transport protein VC0395_A0715/VC395_1212
Putative transport protein NT01EI_2530
Putative transport protein YPK_0013
Putative transport protein NTHI0043
Putative transport protein APP7_1021
Putative transport protein VCM66_1101
Putative transport protein YPO1326/y2857/YP_1266
Putative transport protein HS_1470
Putative transport protein PBPRA2144
Putative transport protein CGSHiGG_02670
Putative transport protein CKO_02260
Putative transport protein VP1232
Putative transport protein ASA_2308
Putative transport protein YPDSF_2370
Putative transport protein YPTS_4123
Putative transport protein YPTS_1454
Putative transport protein YpAngola_A1559
Putative transport protein PC1_1686
Putative transport protein VSAL_I2029
Putative transport protein ESA_02488
Putative transport protein VIBHAR_02636
Putative transport protein AHA_3492
Putative transport protein KPK_3686
Putative transport protein VV1438
Putative transport protein YE1478
Putative transport protein YpsIP31758_2649
Putative transport protein YPN_2653
Putative transport protein YPK_2734
Putative transport protein YpAngola_A3793
Putative transport protein NT01EI_3867
Putative transport protein YPO4083/y4100/YP_3992
Putative transport protein ETA_21820
Putative transport protein AHA_2450
Putative transport protein YPN_3727
Putative transport protein ECA4401
Putative transport protein ASA_0825
Putative transport protein APL_0966
Putative transport protein PBPRA2420
Putative transport protein ECA2683
Putative transport protein VV1_2828
Putative transport protein CGSHiEE_03135
Putative transport protein VF_0889
Putative transport protein VFMJ11_0927
Putative transport protein YbjL
Putative transport protein YPA_3002
Putative transport protein YPTB3906
Putative transport protein YE4162
Putative transport protein HSM_0534
Putative transport protein YPA_0617
Putative transport protein KPN78578_40470
Putative transport protein YpsIP31758_4141
Putative transport protein KPN78578_08530
Putative transport protein YidE
Putative transport protein APJL_0985
