Amiloride-sensitive sodium channel subunit delta
Taste receptor type 2 member 14
Taste receptor type 2 member 19
Taste receptor type 2 member 39
Taste receptor type 2 member 42
Taste receptor type 2 member 43
Taste receptor type 2 member 46
Taste receptor type 2 member 50
Taste receptor type 2 member 60
Taste receptor type 2 member 64
Taste receptor type 2 member 3
Taste receptor type 2 member 8
Taste receptor type 2 member 9
Taste receptor type 2 member 13
Taste receptor type 2 member 16
Taste receptor type 2 member 20
Taste receptor type 2 member 30
Taste receptor type 2 member 31
Taste receptor type 2 member 40
Taste receptor type 2 member 41
Taste receptor type 2 member 45
Taste receptor type 2 member 10
Taste receptor type 2 member 5
Taste receptor type 2 member 66
Taste receptor type 2 member 1
Taste receptor type 2 member 62
Taste receptor type 2 member 124
Taste receptor type 2 member 125
Taste receptor type 2 member 102
Taste receptor type 2 member 109
Taste receptor type 2 member 116
Taste receptor type 2 member 129
Taste receptor type 2 member 136
Taste receptor type 2 member 104
Taste receptor type 2 member 106
Taste receptor type 2 member 117
Taste receptor type 2 member 140
Taste receptor type 2 member 120
Taste receptor type 2 member 103
Taste receptor type 2 member 135
Taste receptor type 1 member 2
Taste receptor type 2 member 113
Taste receptor type 2 member 143
